name,salary,min_salary,max_salary,currency_salary,link,source
Аналитик по безопасной разработке ПО (DevSecOps),,,,,https://spb.hh.ru/vacancy/77724803?from=vacancy_search_list&query=python,https://hh.ru/
Технический писатель со знанием IT,,,,,https://spb.hh.ru/vacancy/77761116?from=vacancy_search_list&query=python,https://hh.ru/
Специалист по информационной безопасности (ФинТех),,,,,https://spb.hh.ru/vacancy/77091039?from=vacancy_search_list&query=python,https://hh.ru/
"Системный администратор Linux ( Middle, Senior )",,,,,https://spb.hh.ru/vacancy/76782816?from=vacancy_search_list&query=python,https://hh.ru/
Devops Engineer,,,,,https://spb.hh.ru/vacancy/74267896?from=vacancy_search_list&query=python,https://hh.ru/
Специалист службы поддержки с техническими знаниями (TOOLS),15 000 – 39 000 руб.,,,руб.,https://spb.hh.ru/vacancy/73595107?from=vacancy_search_list&query=python,https://hh.ru/
Golang разработчик,,,,,https://spb.hh.ru/vacancy/76725570?from=vacancy_search_list&query=python,https://hh.ru/
Senior fullstack разработчик,,,,,https://spb.hh.ru/vacancy/77088713?from=vacancy_search_list&query=python,https://hh.ru/
Инженер по безопасной разработке (AppSec инженер),,,,,https://spb.hh.ru/vacancy/77706305?from=vacancy_search_list&query=python,https://hh.ru/
DevOps Engineer,,,,,https://spb.hh.ru/vacancy/77731033?from=vacancy_search_list&query=python,https://hh.ru/
Аналитик портфеля розничных кредитов,,,,,https://spb.hh.ru/vacancy/76710627?from=vacancy_search_list&query=python,https://hh.ru/
Инженер по сопровождению КХД,,,,,https://spb.hh.ru/vacancy/77217236?from=vacancy_search_list&query=python,https://hh.ru/
Team lead группы разработки,,,,,https://spb.hh.ru/vacancy/77321225?from=vacancy_search_list&query=python,https://hh.ru/
Ночной специалист службы поддержки с техническими знаниями (Браузер),18 000 – 45 000 руб.,,,руб.,https://spb.hh.ru/vacancy/77769040?from=vacancy_search_list&query=python,https://hh.ru/
Senior С++ Developer,,,,,https://spb.hh.ru/vacancy/75713615?from=vacancy_search_list&query=python,https://hh.ru/
Портфельный риск-менеджер по разработке стратегии взыскания,,,,,https://spb.hh.ru/vacancy/77491579?from=vacancy_search_list&query=python,https://hh.ru/
QA automation engineer,,,,,https://spb.hh.ru/vacancy/77725448?from=vacancy_search_list&query=python,https://hh.ru/
"Инженер данных (качество сервисов,SLA)",,,,,https://spb.hh.ru/vacancy/70972873?from=vacancy_search_list&query=python,https://hh.ru/
Младший системный администратор,от 30 000 руб.,30000.0,,руб.,https://spb.hh.ru/vacancy/77383024?from=vacancy_search_list&query=python,https://hh.ru/
Педагог (преподаватель) по программированию,от 22 000 руб.,22000.0,,руб.,https://spb.hh.ru/vacancy/77650562?from=vacancy_search_list&query=python,https://hh.ru/
Системный администратор Linux,,,,,https://spb.hh.ru/vacancy/77609301?from=vacancy_search_list&query=python,https://hh.ru/
Специалист службы поддержки с техническими знаниями (Волкер),15 000 – 39 000 руб.,,,руб.,https://spb.hh.ru/vacancy/77489037?from=vacancy_search_list&query=python,https://hh.ru/
Бизнес-аналитик,,,,,https://spb.hh.ru/vacancy/73882541?from=vacancy_search_list&query=python,https://hh.ru/
BIM Координатор (Конструктивные решения),,,,,https://spb.hh.ru/vacancy/76162174?from=vacancy_search_list&query=python,https://hh.ru/
Руководитель направления безопасности кода,,,,,https://spb.hh.ru/vacancy/74273857?from=vacancy_search_list&query=python,https://hh.ru/
Менеджер вводных уроков / пробных занятий (онлайн школа),40 000 – 120 000 руб.,,,руб.,https://spb.hh.ru/vacancy/77022281?from=vacancy_search_list&query=python,https://hh.ru/
Аналитик на внутренние проекты,,,,,https://spb.hh.ru/vacancy/77642212?from=vacancy_search_list&query=python,https://hh.ru/
"Главный эксперт (Департамент стратегии, инноваций и маркетинга)",от 65 000 руб.,65000.0,,руб.,https://spb.hh.ru/vacancy/77711309?from=vacancy_search_list&query=python,https://hh.ru/
Преподаватель-практик лабораторного химического анализа,до 125 000 руб.,,125000.0,руб.,https://spb.hh.ru/vacancy/77695404?from=vacancy_search_list&query=python,https://hh.ru/
C++ Developer,,,,,https://spb.hh.ru/vacancy/77583224?from=vacancy_search_list&query=python,https://hh.ru/
Ведущий инженер АСУ ТП,110 000 – 150 000 руб.,,,руб.,https://spb.hh.ru/vacancy/69316211?from=vacancy_search_list&query=python,https://hh.ru/
Корпоративный психолог в Алабуга Политех,80 000 – 90 000 руб.,,,руб.,https://spb.hh.ru/vacancy/77767730?from=vacancy_search_list&query=python,https://hh.ru/
Senior C++ разработчик в Поиск,,,,,https://spb.hh.ru/vacancy/76073280?from=vacancy_search_list&query=python,https://hh.ru/
